,name,api_keyword,business_status,place_id,lat,lng,rating,user_ratings_total,types,vicinity,price_level
36,Le New Maryland,bar,OPERATIONAL,ChIJ6dE0PnF65kcRvIh_PUr9a-k,48.8038592,2.2659771,3.8,95,"['bar', 'point_of_interest', 'store', 'establishment']","62 bis Av. Jean Jaurès, Clamart",1
37,Le Victor Hugo,bar,OPERATIONAL,ChIJZWjVXXh65kcRhB4KTLMMEeU,48.8094644,2.2717804,3.8,36,"['bar', 'point_of_interest', 'store', 'establishment']","175 Av. Victor Hugo, Clamart",
38,Le Fleury,bar,OPERATIONAL,ChIJd36_WDt75kcR4iiZoSZNtmY,48.8114107,2.2583441,5.0,3,"['bar', 'point_of_interest', 'establishment']","82 Av. Henri Barbusse, Clamart",
39,Tabac Du Clos,bar,OPERATIONAL,ChIJ-ScNO4Fw5kcRWrezMauInKM,48.8140166,2.2783512,4.0,141,"['bar', 'point_of_interest', 'establishment']","2 Bd Colonel Fabien, Malakoff",1
40,Novotel Suites Paris Issy les Moulineaux,hotel,OPERATIONAL,ChIJEcdqnpp65kcRQcfSh8bG_AM,48.82892,2.263183,4.0,860,"['lodging', 'point_of_interest', 'establishment']","86 Rue Camille Desmoulins, Issy-les-Moulineaux",
41,ibis budget Meudon Paris Ouest,hotel,OPERATIONAL,ChIJ30nUnF965kcRWutyRe2AHd8,48.8173919,2.2489581,3.8,726,"['lodging', 'point_of_interest', 'establishment']","3 Bis Rue de Paris, Meudon",
42,Hôtel Mercure Paris Boulogne,hotel,OPERATIONAL,ChIJh7KpV5d75kcRf3v5IPRjLgA,48.83376149999999,2.2565396,4.1,1347,"['lodging', 'point_of_interest', 'establishment']","37 Pl. René Clair, Boulogne-Billancourt",
43,Hôtel Mercure Paris Porte de Versailles Expo,hotel,OPERATIONAL,ChIJm1i_qmhw5kcR2905u8MIyTc,48.82684,2.2911622,4.1,2378,"['lodging', 'point_of_interest', 'establishment']","36 38 Rue du Moulin, Vanves",
44,Courtyard by Marriott Paris Porte de Versailles,hotel,OPERATIONAL,ChIJDUpITXBw5kcRzKaie4bjIQE,48.8297196,2.2840304,4.2,252,"['lodging', 'point_of_interest', 'establishment']","5 Rue Ernest Renan, Issy-les-Moulineaux",
45,Mama Shelter Paris West,hotel,OPERATIONAL,ChIJmR0x12hw5kcRjVEK27CRP88,48.8287043,2.292037,4.4,2517,"['lodging', 'point_of_interest', 'establishment']","20 Av. de la Prte de la Plaine, Paris",
46,Novotel Paris Porte de Versailles,hotel,OPERATIONAL,ChIJ3wx0j6px5kcR5ppI1orhhlE,48.8299988,2.291907,4.5,655,"['lodging', 'point_of_interest', 'establishment']","4 Av. de la Prte de la Plaine, Paris",
47,ibis Styles Paris 16 Boulogne,hotel,OPERATIONAL,ChIJZwAJN5V65kcR33biUviilIY,48.8364659,2.2536559,4.3,708,"['lodging', 'point_of_interest', 'establishment']","19 Av. Ferdinand Buisson, Paris",
48,Vice Versa Hotel,hotel,OPERATIONAL,ChIJ_exf2Gxw5kcRIjHF2HQ4Szw,48.8363813,2.2897122,4.2,536,"['lodging', 'point_of_interest', 'establishment']","213 Rue de la Croix Nivert, Paris",
49,"Radisson Blu Hotel, Paris Boulogne",hotel,OPERATIONAL,ChIJBxcBzOp65kcRwFG5ankIEmU,48.83626650000001,2.252804,4.2,1115,"['lodging', 'point_of_interest', 'establishment']","31-33 Av. Edouard Vaillant, Paris",
50,Hotel Paris Vaugirard,hotel,OPERATIONAL,ChIJK89My21w5kcR1Q91NYFX9qg,48.833035,2.289085,4.2,1422,"['lodging', 'point_of_interest', 'establishment']","403 Rue de Vaugirard, Paris",
51,Hotel Luxor,hotel,OPERATIONAL,ChIJb0mf7nBw5kcROIa-FBNkExU,48.8288883,2.2823426,3.3,457,"['lodging', 'point_of_interest', 'establishment']","24 Rue Ernest Renan, Issy-les-Moulineaux",
52,OKKO Hotels Paris Porte De Versailles,hotel,OPERATIONAL,ChIJoe6UJXRw5kcROzDW8BFoEHA,48.83275690000001,2.2782264,4.5,1007,"['lodging', 'point_of_interest', 'establishment']","2 Rue du Colonel Pierre Avia, Paris",
53,Aparthotel Adagio Paris Montrouge,hotel,OPERATIONAL,ChIJu24KJlVw5kcRhBrG39amnwI,48.8201869,2.3115428,4.1,825,"['lodging', 'point_of_interest', 'establishment']","96 Rue Gabriel Péri, Montrouge",
54,Hôtel Mercure Paris Vaugirard Porte de Versailles,hotel,OPERATIONAL,ChIJc2p0WHBw5kcRFIJOsnY0-U0,48.8331224,2.2881547,4.3,782,"['lodging', 'point_of_interest', 'establishment']","69 Bd Victor, Paris",
55,ibis budget Issy-les-Moulineaux Paris Ouest,hotel,OPERATIONAL,ChIJf4SGHo965kcR4jhESGbg6Ts,48.8243166,2.2606483,3.6,1490,"['lodging', 'point_of_interest', 'establishment']","Zac Garibaldi, 12 Rue Jacques-Henri Lartigue, Issy-les-Moulineaux",
56,ibis budget Paris Porte de Vanves,hotel,OPERATIONAL,ChIJvfMGp11w5kcRgxqACxtRnyQ,48.8242558,2.2988666,3.7,895,"['lodging', 'point_of_interest', 'establishment']","110 Rue Jean Bleuzen, Vanves",
57,Hôtel Oceania Paris Porte de Versailles,hotel,OPERATIONAL,ChIJk0QEunFw5kcRZWlV5S9F5rY,48.8303841,2.284224,4.0,1938,"['city_hall', 'night_club', 'spa', 'local_government_office', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","52 Rue d'Oradour-sur-Glane, Paris",
58,ibis budget Châtillon Paris Ouest,hotel,OPERATIONAL,ChIJo8ps8phw5kcR3-go78rB_Dk,48.7989249,2.2809973,3.8,733,"['lodging', 'point_of_interest', 'establishment']","Zac Des Sablons, 111 Av. de Verdun Lot ""C, Châtillon",
59,Porte de Versailles Hôtel,hotel,OPERATIONAL,ChIJTXrFjW1w5kcRmBFWuPvxhjo,48.8351285,2.2825234,4.0,329,"['lodging', 'point_of_interest', 'establishment']","11 Bd Victor, Paris",
60,B&B HOTEL Paris Malakoff Parc des Expositions,hotel,OPERATIONAL,ChIJE6Jci1xw5kcR1SKZmVsEO7Y,48.824619,2.3009437,3.7,3480,"['lodging', 'point_of_interest', 'establishment']","2 Bd Charles de Gaulle, Malakoff",
61,ibis Paris Brancion Parc des Expositions 15ème,hotel,OPERATIONAL,ChIJjRzJlkNw5kcRk6A6DgO5j9U,48.8303131,2.3020924,4.0,444,"['lodging', 'point_of_interest', 'establishment']","105 Rue Brancion, Paris",
62,Hôtel Avenir Vaugirard,hotel,OPERATIONAL,ChIJB-jbJWtw5kcRutefYo9ZA_g,48.8362765,2.2946043,2.7,284,"['lodging', 'point_of_interest', 'establishment']","373 Rue de Vaugirard, Paris",
63,Hôtel Résidence de la Tour,hotel,OPERATIONAL,ChIJ55fN51tw5kcRLJ_hgsSMR3w,48.822444,2.3036667,3.6,167,"['lodging', 'point_of_interest', 'establishment']","43 Av. Pierre Larousse, Malakoff",
64,Appart Hôtel - Residhome Paris Issy-les-Moulineaux,hotel,OPERATIONAL,ChIJp3FOTo565kcRHPb8rt54QgM,48.82499259999999,2.258522,4.2,523,"['lodging', 'point_of_interest', 'establishment']","22-24 Rue du Passeur de Boulogne, Issy-les-Moulineaux",
65,Arty Paris Porte de Versailles,hotel,OPERATIONAL,ChIJ7yUOoEZw5kcRjyluN5-HuUs,48.8318095,2.3044912,3.4,1006,"['lodging', 'point_of_interest', 'establishment']","62 Rue des Morillons, Paris",
66,Aparthotel Adagio Paris XV,hotel,OPERATIONAL,ChIJMyacW3Fw5kcR9vedBNXSP1A,48.8310212,2.2827683,3.6,1186,"['lodging', 'point_of_interest', 'establishment']","20 Rue d'Oradour-sur-Glane, Paris",
67,Beau Séjour,hotel,OPERATIONAL,ChIJV6X0xoV65kcRgSpAguPmFxs,48.8236418,2.2648265,4.9,25,"['lodging', 'point_of_interest', 'establishment']","8b All. des Coutures, Issy-les-Moulineaux",
68,Hôtel Printania,hotel,OPERATIONAL,ChIJaUhtUWpw5kcRoIzN7rh4_Zk,48.8340757,2.2953954,2.4,216,"['lodging', 'point_of_interest', 'establishment']","55 Rue Olivier de Serres, Paris",
69,ibis Paris Issy-les-Moulineaux Val de Seine,hotel,OPERATIONAL,ChIJZ-1W_ot65kcRyaqLdxZk_AE,48.82237139999999,2.2577688,3.9,1062,"['lodging', 'point_of_interest', 'establishment']","213 Rue Jean Jacques Rousseau, Issy-les-Moulineaux",
70,Best Western Paris Porte de Versailles à Issy-les-Moulineaux,hotel,OPERATIONAL,ChIJuS92oXhw5kcRvGNHL17icl4,48.8235567,2.2747152,4.0,305,"['lodging', 'point_of_interest', 'establishment']","11 bis Av. Jean Jaurès, Issy-les-Moulineaux",
71,Comfort Hotel Sixteen,hotel,OPERATIONAL,ChIJxRN_hfhw5kcRF5yt3EO4_ZM,48.8160316,2.3108234,4.4,216,"['lodging', 'point_of_interest', 'establishment']","16 Place Jean Jaurès, Montrouge",
72,Hôtel Campanile Paris Ouest - Boulogne,hotel,OPERATIONAL,ChIJe0M5l-h65kcRVpc3HrHa4Ek,48.8346172,2.2424051,2.9,379,"['lodging', 'point_of_interest', 'establishment']","5 Rue Carnot, Boulogne-Billancourt",
73,SOL'ANGE Maison d'Hotes,hotel,OPERATIONAL,ChIJEZ4moXx65kcRhQJw-3ao-G4,48.812706,2.2635298,4.7,7,"['lodging', 'point_of_interest', 'establishment']","61 Rue de Fleury, Clamart",
74,Novotel Suites Paris Expo Porte de Versailles,hotel,OPERATIONAL,ChIJG5F4M0Vw5kcRKjkGyJPXIG4,48.82761259999999,2.3046091,4.3,898,"['lodging', 'point_of_interest', 'establishment']","4 Boulevard Brune, Paris",
75,Le Bellune Bar Hotel & Spa,hotel,OPERATIONAL,ChIJ42i_1Klx5kcRCB65QYU7_f4,48.8341918,2.2852203,4.4,35,"['spa', 'lodging', 'bar', 'point_of_interest', 'establishment']","35 Bd Victor, Paris",
76,Aéro Club Hôtel,hotel,OPERATIONAL,ChIJ2RYwMZ165kcRgb2ZvBp9HbU,48.82775239999999,2.2730748,3.8,198,"['lodging', 'point_of_interest', 'establishment']","30 Bd des Frères Voisin, Issy-les-Moulineaux",
77,ibis Paris Porte de Vanves Parc des Expositions,hotel,OPERATIONAL,ChIJhRESKmdw5kcRBRKRYEUTVIw,48.82229659999999,2.2940495,4.0,364,"['lodging', 'point_of_interest', 'establishment']","43 Rue Jean Bleuzen, Vanves",
78,Chambres d'hôtes Issy-Paris,hotel,OPERATIONAL,ChIJU61V_IJ65kcRfxE-uNxYZKI,48.8254905,2.2721252,2.6,8,"['lodging', 'point_of_interest', 'establishment']","21 Rue Diderot, Issy-les-Moulineaux",
79,Boulogne Résidence Hôtel,hotel,OPERATIONAL,ChIJQUvonu565kcRZny_JLCtIAY,48.8315229,2.2467729,4.3,193,"['lodging', 'point_of_interest', 'establishment']","32 Rue des Longs Prés, Boulogne-Billancourt",
80,Hôtel Le Petit Chateau,hotel,OPERATIONAL,ChIJn0oglVlw5kcRHxOA_9F68Dw,48.8206652,2.3063899,2.9,96,"['lodging', 'point_of_interest', 'establishment']","17 Rue Savier, Malakoff",
81,YAYS Paris Issy,hotel,OPERATIONAL,ChIJYwtYi2575kcRYKgEMMz2R24,48.8215904,2.2650244,4.4,140,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']","20 Av. Bourgain, Issy-les-Moulineaux",
82,Hôtel Gabriel Issy Paris.,hotel,OPERATIONAL,ChIJCduESZ165kcRPgunVHeXAK4,48.8277575,2.2733954,3.6,384,"['gym', 'lodging', 'point_of_interest', 'health', 'establishment']","32 Bd des Frères Voisin, Issy-les-Moulineaux",
83,Hôtel Mercure Paris Malakoff Parc des Expositions,hotel,OPERATIONAL,ChIJt1pk3Pdw5kcRxde-TrpZyBo,48.8167879,2.3060567,3.5,355,"['lodging', 'point_of_interest', 'establishment']","122 Av. Pierre Brossolette, Malakoff",
84,Hôtel Moderniste,hotel,OPERATIONAL,ChIJp-WpMZtx5kcRBjgtS0LmENk,48.8358187,2.2924074,4.9,126,"['lodging', 'point_of_interest', 'establishment']","5 Rue de Langeac, Paris",
85,Hôtel Patio Brancion,hotel,OPERATIONAL,ChIJF32wNlxw5kcRf6bdmQWxVLo,48.8227929,2.3000086,3.6,223,"['lodging', 'point_of_interest', 'establishment']","35 Rue Edgar Quinet, Malakoff",
86,Hôtel Izzy by HappyCulture,hotel,OPERATIONAL,ChIJqX4R9HBw5kcRHhGIe4HvtZg,48.8287525,2.2831386,4.2,572,"['lodging', 'point_of_interest', 'establishment']","3 Rue Georges Marie, Issy-les-Moulineaux",
